id,name,website,website_active,osm_exists,score,verified,verification_reason
201,Starbucks,https://www.starbucks.com/store-locator/store/1015710/university-of-akron-library-315-buchtel-commons-rdh-akron-oh-443250002-us,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
203,Five Guys,https://restaurants.fiveguys.com/753-howe-ave,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
206,Qdoba,https://locations.qdoba.com/us/oh/akron/univ-of-akron-student-union.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
209,Burger King,https://www.bk.com/store-locator/store/restaurant_4457,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
214,Five Guys,https://restaurants.fiveguys.com/282-e-exchange-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
215,Taco Bell,https://locations.tacobell.com/oh/akron/1940-w--market-st.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
207,Panda Express,https://www.pandaexpress.com/locations/oh/akron/2643,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
223,Marco's Pizza,NaN,False,True,2,False,"Found in OSM, Low verification score"
224,Papa Gryo's,NaN,False,True,2,False,"Found in OSM, Low verification score"
228,Chipotle,https://locations.chipotle.com/oh/akron/790-arlington-rdg,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
233,Starbucks,https://www.starbucks.com/store-locator/store/1013926/alliance-west-state-st-2495-w-state-street-alliance-oh-446015600-us,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
234,Subway,https://restaurants.subway.com/united-states/oh/alliance/2100-parkway-blvd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
236,Hardee's,https://locations.hardees.com/oh/akron/2695-gilchrist-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
239,Subway,https://restaurants.subway.com/united-states/oh/akron/2843-e-waterloo-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
240,Papa John's,https://locations.papajohns.com/united-states/oh/44312/akron/2845-e-waterloo-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
238,East of Chicago Pizza,NaN,False,True,2,False,"Found in OSM, Low verification score"
241,Johnny J's Pub & Grill,NaN,False,True,2,False,"Found in OSM, Low verification score"
245,Grinders,https://www.grinders.net,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
246,Starbucks,https://www.starbucks.com/store-locator/store/90026/stow-kent-plaza-4294-kent-road-stow-oh-442244470-us,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
247,Taqueria El Paso,https://www.facebook.com/TaqueriaElPasoAkron/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
248,Ms. Julie's Kitchen,NaN,False,True,2,False,"Found in OSM, Low verification score"
249,House of Hunan,https://houseofhunan6.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
251,Mama Rosa's,https://mamarosespizza.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
254,McDonald's,https://www.mcdonalds.com/us/en-us/location/5493.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
261,Pizza Hut,https://locations.pizzahut.com/oh/akron/1694-w-market-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
263,Dunkin' Donuts,https://locations.dunkindonuts.com/en/oh/akron/1712-w-market-st/350211,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
264,Panera Bread,https://locations.panerabread.com/oh/cuyahoga-falls/689-howe-avenue.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
266,McDonald's,https://www.mcdonalds.com/us/en-us/location/10566.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
269,Gino's Pizza,NaN,False,True,2,False,"Found in OSM, Low verification score"
270,Portage Path Broaster and Mini Mart,NaN,False,True,2,False,"Found in OSM, Low verification score"
271,Little Caesars,NaN,False,True,2,False,"Found in OSM, Low verification score"
272,Edgar's Restaurant,NaN,False,True,2,False,"Found in OSM, Low verification score"
286,Valley Cafe,NaN,False,True,2,False,"Found in OSM, Low verification score"
285,Popeyes,https://www.popeyes.com/store-locator/store/restaurant_83727,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
289,Boba & Pearl,NaN,False,True,2,False,"Found in OSM, Low verification score"
287,Evelyn's Coffee & Banh Mi,http://evelynscoffee.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
291,Pierre's Brooklyn Pizza and Deli,https://pierrespizzaanddeli.com/,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
292,Subway,https://restaurants.subway.com/united-states/oh/akron/904-tallmadge-ave,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
293,Crimson Cup,https://www.crimsoncup.com/assets/24x36-_2020_Tallmadge.pdf,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
295,Paniniâ€™s Bar & Grill,NaN,False,True,2,False,"Found in OSM, Low verification score"
296,Nervous Dog Coffee Bar and Roaster,NaN,False,True,2,False,"Found in OSM, Low verification score"
297,Skyline Chili,https://skylinechili.com/,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
298,Rockneâ€™s,NaN,False,True,2,False,"Found in OSM, Low verification score"
299,Mr. Bulky's Foods,NaN,False,True,2,False,"Found in OSM, Low verification score"
300,Agavero Mexican Restaurant,NaN,False,True,2,False,"Found in OSM, Low verification score"
294,Chipotle,https://locations.chipotle.com/oh/cuyahoga-falls/2042-portage-trl,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
301,Dunkin',https://locations.dunkindonuts.com/en/oh/stow/3027-graham-rd/353699,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
307,Missing Falls Brewery,NaN,False,True,2,False,"Found in OSM, Low verification score"
302,Jersey Mike's Subs,https://www.jerseymikes.com/2063/stow-oh,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
303,StowNut Donut & Diner,http://www.stownutdonut.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
306,Subway,https://restaurants.subway.com/united-states/oh/stow/3022-graham-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
308,Dunkin',https://locations.dunkindonuts.com/en/oh/akron/1286-shanafelt-ave/354710,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
309,Subway,https://restaurants.subway.com/united-states/oh/akron/1011-e-waterloo-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
324,West Ave Tavern,https://www.westavetavern.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
326,Panera Bread,https://locations.panerabread.com/oh/stow/4338-kent-road.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
328,Subway,https://restaurants.subway.com/united-states/oh/alliance/2491-w-state-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
319,Penn Station,NaN,False,True,2,False,"Found in OSM, Low verification score"
320,Moe's Southwest Grill,NaN,False,True,2,False,"Found in OSM, Low verification score"
325,No. 1 Chinese Kitchen,NaN,False,True,2,False,"Found in OSM, Low verification score"
330,Gionino's Pizzeria,https://www.gioninos.com/locations/oh-akron-1376-n-portage-path-44313,False,True,2,False,"Website check failed, Found in OSM, Low verification score"
333,Lock 15 Brewing Co,NaN,False,True,2,False,"Found in OSM, Low verification score"
338,South Point Tavern,NaN,False,True,2,False,"Found in OSM, Low verification score"
339,Niko's Sandwich Board,NaN,False,True,2,False,"Found in OSM, Low verification score"
329,Domino's,https://pizza.dominos.com/ohio/alliance/1939-west-state-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
344,Tip Top,NaN,False,True,2,False,"Found in OSM, Low verification score"
345,The Town Tavern,NaN,False,True,2,False,"Found in OSM, Low verification score"
346,Gionino's,NaN,False,True,2,False,"Found in OSM, Low verification score"
331,Papa John's,https://locations.papajohns.com/united-states/oh/44313/akron/1885-west-market-street,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
334,Breakfast at Tiffani's Cafe and Catering,https://www.facebook.com/people/Breakfast-at-Tiffanis-Cafe-and-Catering/100093853910872/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
335,Taco Bell,https://locations.tacobell.com/oh/tallmadge/62-tallmadge-circle.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
336,Arby's,https://www.arbys.com/locations/us/oh/tallmadge/30-east-ave/store-5351/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
355,D'Agnese's Trattoria and Cafe,NaN,False,True,2,False,"Found in OSM, Low verification score"
342,Starbucks,https://www.starbucks.com/store-locator/store/1024909/akron-east-market-drive-thru-1203-e-market-st-akron-oh-44305-us,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
347,Papa John's,https://locations.papajohns.com/united-states/oh/44685/uniontown/13038-cleveland-avenue-nw,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
359,Buffalo Wild Wings,NaN,False,True,2,False,"Found in OSM, Low verification score"
360,Rewind Virtual Cafe,NaN,False,True,2,False,"Found in OSM, Low verification score"
361,Italian Garden,NaN,False,True,2,False,"Found in OSM, Low verification score"
348,McDonald's,https://www.mcdonalds.com/us/en-us/location/8064.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
349,Hanini Subs,https://www.haninisubs.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
354,Starbucks,https://www.starbucks.com/store-locator/store/10617/cuyahoga-falls-graham-hudso-1006-graham-road-cuyahoga-falls-oh-442242935-us,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
357,Firehouse,https://www.firehousetallmadge.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
362,Burger King,https://www.bk.com/store-locator/store/restaurant_87515,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
363,Taco Bell,https://locations.tacobell.com/oh/kent/4098-maplecrest-parkway.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
364,Arby's,https://www.arbys.com/locations/us/oh/kent/165-tallmadge-road/store-8172/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
369,Subway,https://restaurants.subway.com/united-states/oh/akron/1033-kenmore-blvd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
373,Domino's,https://pizza.dominos.com/ohio/cuyahoga-falls/2110-state-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
375,Compass Coffee,https://thewellakron.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
