id,lat,lon,name,brand,website,amenity,shop,cuisine_raw,opening_hours,store_type_label,cuisine_labels,domain_tokens,text_seed
12297192135,41.152992,-81.3571839,Belleria,,,restaurant,,italian,,restaurant,['italian'],,Belleria
200164774,,,Cleveland Bagel Co,,http://clebagelco.com/,cafe,,coffee_shop;bagel,,cafe,"['bagel', 'coffee']",clebagelco com,Cleveland Bagel Co  clebagelco com
231986919,,,Papa John's,Papa John's,https://locations.papajohns.com/united-states/oh/44240/kent/439-e-main-st,fast_food,,pizza,Mo-Th 10:00-01:00; Fr-Sa 10:00-02:00; Su 10:00-24:00,fast_food,['pizza'],locations papajohns com,Papa John's Papa John's locations papajohns com
234797651,,,Chipotle,Chipotle,https://locations.chipotle.com/oh/kent/605-e-main-st,fast_food,,mexican,,fast_food,['mexican'],locations chipotle com,Chipotle Chipotle locations chipotle com
234797653,,,Five Guys,Five Guys,https://restaurants.fiveguys.com/623-east-main-street,fast_food,,burger,11:00-22:00; PH off,fast_food,['burger'],restaurants fiveguys com,Five Guys Five Guys restaurants fiveguys com
234797655,,,Wendy's,Wendy's,https://locations.wendys.com/united-states/oh/kent/515-e-main-street,fast_food,,burger,07:00-22:00,fast_food,['burger'],locations wendys com,Wendy's Wendy's locations wendys com
235201036,,,The Endzone,,,fast_food,,american,,fast_food,['american'],,The Endzone
235306316,,,Taco Bell,Taco Bell,https://locations.tacobell.com/oh/kent/805-e-main-street.html,fast_food,,tex-mex,,fast_food,['mexican'],locations tacobell com,Taco Bell Taco Bell locations tacobell com
235306317,,,Main Street Continental Grill,,,fast_food,,mediterranean,,fast_food,['mediterranean'],,Main Street Continental Grill
235375935,,,Over Easy At The Depot,,,restaurant,,american;breakfast,08:00-14:30,restaurant,"['american', 'breakfast']",,Over Easy At The Depot
241964491,,,Bent Tree Coffee Roasters,,,cafe,,coffee_shop,,cafe,['coffee'],,Bent Tree Coffee Roasters
245938649,,,Toko Japanese Steakhouse,,,restaurant,,japanese,,restaurant,['japanese'],,Toko Japanese Steakhouse
245938650,,,Singh Biryani,,,restaurant,,indian,,restaurant,['indian'],,Singh Biryani
246483237,,,Mike's Place,,https://www.mikesplacerestaurant.com/,restaurant,,american,,restaurant,['american'],www mikesplacerestaurant com,Mike's Place  www mikesplacerestaurant com
246483244,,,Bob Evans,Bob Evans,,restaurant,,american,,restaurant,['american'],,Bob Evans Bob Evans
249401154,,,Scribbles Coffee Company,,https://www.scribblescoffeecompany.com/,cafe,,coffee_shop,Mo-Su 07:00-17:00,cafe,['coffee'],www scribblescoffeecompany com,Scribbles Coffee Company  www scribblescoffeecompany com
249402020,,,River Merchant,,https://therivermerchantkent.com/,restaurant,,american,Su-Th 11:00-21:00; Fr-Sa 11:00-22:00,restaurant,['american'],therivermerchantkent com,River Merchant  therivermerchantkent com
274459856,,,Pizza Hut,Pizza Hut,https://locations.pizzahut.com/oh/kent/1715-state-route-59,restaurant,,pizza,,restaurant,['pizza'],locations pizzahut com,Pizza Hut Pizza Hut locations pizzahut com
300743764,,,Burger King,Burger King,https://www.bk.com/store-locator/store/restaurant_521,fast_food,,burger,Mo-Fr 06:00-22:00; Sa-Su 07:00-22:00,fast_food,['burger'],www bk com,Burger King Burger King www bk com
300785131,,,McDonald's,McDonald's,https://www.mcdonalds.com/us/en-us/location/1310.html,fast_food,,burger,"Mo-Su,PH 06:00-23:00",fast_food,['burger'],www mcdonalds com,McDonald's McDonald's www mcdonalds com
300845253,,,Henry Wahner's,,,restaurant,,german,,restaurant,['german'],,Henry Wahner's
300846371,,,Stoddard's Ice Cream,,,restaurant,,ice_cream,,restaurant,['ice_cream'],,Stoddard's Ice Cream
418200176,,,Dunkin',Dunkin',https://locations.dunkindonuts.com/en/oh/kent/527-east-main-st/350599,fast_food,,donut;coffee_shop,Mo-Fr 05:00-21:00; Sa-Su 06:00-21:00,fast_food,"['coffee', 'donut']",locations dunkindonuts com,Dunkin' Dunkin' locations dunkindonuts com
418353839,,,Prentice Cafe,,https://www.kent.edu/dining/prentice-hall,cafe,,american,,cafe,['american'],www kent edu,Prentice Cafe  www kent edu
420980121,,,The Bean Scene at Olson,,https://www.kent.edu/dining/olson-hall-0,cafe,,coffee_shop,,cafe,['coffee'],www kent edu,The Bean Scene at Olson  www kent edu
